Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,22.7,22.9,23.2,23.7,24.2,24.8,25.3,25.7,26.0,26.5,27.1,27.4,28.1,28.7,29.2,29.7
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,33.3,33.8,32.3,32.8,33.6,34.4,35.2,35.9,36.5,37.3,37.9,38.7,39.9,41.0,41.9,42.7
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,62.6,63.4,65.8,66.6,67.9,69.4,70.8,71.9,73.1,74.1,75.2,76.4,77.6,78.9,80.2,81.3
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,19.2,19.5,19.7,20.0,20.3,20.6,21.0,21.3,21.5,21.8,22.1,22.5,22.8,23.2,23.5,23.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1480.4,1511.5,1574.6,1606.0,1644.5,1684.4,1724.9,1762.5,1790.9,1829.5,1870.0,1902.6,1948.3,1990.7,2036.5,2083.5
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.3,159.0,161.3
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,122.5,124.5,133.5,136.0,138.7,141.6,144.6,147.3,149.7,152.3,155.6,158.8,162.7,166.3,169.9,173.6
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,95.3,97.5,99.0,101.2,103.9,106.5,109.1,111.6,114.1,116.5,119.0,121.4,124.3,126.7,129.1,131.8
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,161.4,165.0,173.2,176.9,181.1,185.6,190.2,194.3,198.0,202.1,206.5,209.5,214.2,218.6,223.4,228.8
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,124.3,127.0,130.9,133.5,136.5,139.8,143.3,146.6,149.4,152.9,156.8,160.6,165.2,169.2,173.5,178.3
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,111.0,113.1,116.3,118.3,120.7,123.0,125.3,127.6,129.9,132.5,135.4,138.0,141.2,144.5,148.0,151.8
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,132.0,134.8,139.0,141.8,145.7,149.4,152.9,156.0,158.8,162.2,165.3,166.8,170.1,173.2,176.9,181.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,58.0,59.2,64.8,65.8,66.9,68.1,69.3,70.4,71.5,72.9,74.2,75.8,77.5,79.0,80.8,82.7
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,14.5,14.8,15.6,15.9,16.2,16.5,16.7,17.0,17.3,17.5,17.8,18.2,18.6,18.8,19.1,19.6
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,44.4,45.4,49.1,50.1,51.1,52.5,53.9,55.3,56.7,58.2,59.8,61.0,62.8,64.5,66.6,69.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,92.9,94.6,102.5,104.4,106.8,109.2,111.6,113.8,115.8,118.0,120.5,123.0,125.6,128.0,130.7,133.6
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,239.8,245.3,252.6,258.4,265.4,273.2,281.1,288.7,296.0,304.1,312.8,320.4,330.6,185.8,190.8,196.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,140.6,143.7,147.9,150.9,155.2,159.0,163.0,166.4,163.2,166.1,168.7,169.7,172.8,175.4,178.4,181.6
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,143.7,146.6,150.2,152.8,156.3,160.0,163.9,167.5,170.5,174.2,177.6,179.4,182.7,186.4,190.3,194.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,430.7,430.7,452.2,443.2,452.9,464.7,472.8,481.9,490.4,501.4,509.4,516.6,528.4,538.4,547.0,555.5
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,23.7,23.7,19.7,19.1,19.2,19.2,19.1,19.2,19.2,19.3,19.5,19.7,20.0,20.3,20.3,20.2
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,85.7,85.7,98.3,89.6,91.7,94.3,96.2,98.0,99.5,101.4,103.4,105.2,107.4,109.4,111.4,113.5
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,73.2,73.2,81.2,83.4,85.5,87.8,89.6,91.2,92.8,94.8,96.6,98.3,100.2,101.9,103.4,105.0
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,60.4,60.4,66.8,68.3,70.1,72.9,75.3,77.7,80.1,83.6,84.0,85.8,88.9,91.3,93.4,95.5
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,32.0,32.0,31.1,32.7,33.4,34.3,34.8,35.5,36.2,36.9,37.7,36.8,37.6,38.0,38.6,39.1
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,15.5,15.5,10.8,10.3,10.0,10.0,9.8,9.8,9.7,9.8,10.0,10.3,10.4,10.6,10.4,10.2
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,13.9,13.9,5.5,5.4,5.4,5.3,4.9,5.2,5.1,4.8,4.6,4.6,4.7,4.9,4.9,4.9
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,126.3,126.3,138.8,134.4,137.6,140.9,143.1,145.3,147.8,150.8,153.6,155.9,159.2,162.0,164.6,167.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,799.7,783.1,869.6,888.6,910.9,935.4,961.5,935.8,955.9,975.3,995.7,1010.0,1031.6,1053.6,1076.7,1099.6
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,63.1,62.1,70.4,71.4,72.9,74.4,76.0,77.4,78.8,80.4,82.1,83.8,85.7,87.4,89.4,91.4
