Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,444.0,450.0,457.3,464.9,472.5,482.7,491.4,499.8,509.8,520.7,530.5,540.0
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,65.6,65.4,65.5,65.9,66.8,67.3,71.5,73.0,75.0,77.9,80.8,83.7
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,34.4,35.1,36.2,37.3,38.3,39.1,39.8,40.6,40.8,41.3,42.2,43.2
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.1,4.2,4.2,4.3,4.3
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,14.4,14.4,14.3,14.4,14.4,16.5,16.8,17.1,17.4,17.7,17.7,17.6
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,68.4,69.5,70.7,71.9,72.8,73.9,75.1,76.1,77.4,78.7,80.0,81.3
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,50.4,51.4,52.2,53.1,53.8,54.7,55.7,56.6,57.6,58.6,59.4,60.2
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,55.3,57.0,58.8,60.5,62.2,64.5,63.3,64.7,66.7,68.4,69.9,71.3
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,41.3,41.8,42.4,42.8,43.5,44.2,41.5,41.4,42.1,42.8,43.5,44.1
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,7.4,7.2,7.2,7.2,7.1,7.1,7.3,7.4,7.6,7.7,7.6,7.5
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,17.1,17.2,17.6,18.0,18.5,18.6,18.7,19.0,19.4,19.9,20.0,20.2
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,89.7,91.0,92.4,93.8,95.1,96.8,98.4,99.8,101.6,103.5,105.1,106.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1236.4,1260.5,1283.9,1307.5,1330.1,1355.6,1383.5,1410.9,1442.0,1474.3,1507.7,1539.8
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,232.2,236.3,239.8,287.6,292.0,297.5,304.0,312.9,320.9,329.2,338.2,346.5999999999998
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,55.2,56.3,57.4,58.3,59.3,60.6,61.8,63.1,64.5,65.8,67.2,68.5
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,90.7,92.5,94.3,96.3,98.0,99.9,102.1,104.4,106.7,109.2,111.6,114.2
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,104.1,106.6,109.1,81.9,83.6,85.6,87.4,88.0,89.9,92.0,94.2,96.3
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,72.5,73.8,74.9,76.0,77.3,78.7,80.2,81.5,83.1,84.7,86.3,87.9
1714219,Pop tumani,Папский район,Pop district,Поп тумани,98.1,100.0,101.8,103.5,105.3,107.0,108.9,110.8,112.9,115.0,117.2,119.2
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,98.5,100.7,102.9,105.1,107.2,109.3,111.6,112.8,115.4,118.4,121.2,123.9
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,103.6,106.0,108.2,100.0,101.8,103.9,106.2,108.4,111.1,113.6,116.1,118.7
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,76.9,78.2,79.6,81.1,82.5,84.0,85.7,87.1,88.9,90.6,92.4,94.0
