geo_code,year,total_birth_yearly,birth_girls,birth_boys,share_girls,share_boys,sex_diff
1714219,2021,5484.0,2686.0,2798.0,48.97884755652808,51.02115244347192,0.0
1714219,2022,5725.0,2737.0,2988.0,47.80786026200873,52.19213973799126,0.0
1714219,2023,5894.0,2825.0,3069.0,47.93009840515779,52.069901594842214,0.0
1714219,2024,5604.0,2671.0,2933.0,47.662384011420414,52.337615988579586,0.0
1714224,2010,3812.0,1800.0,2012.0,47.2193074501574,52.7806925498426,0.0
1714224,2013,4478.0,2172.0,2306.0,48.50379633765073,51.49620366234926,0.0
1714224,2014,5242.0,2504.0,2738.0,47.768027470431136,52.23197252956887,0.0
1714224,2015,5337.0,2510.0,2827.0,47.03016676035226,52.96983323964775,0.0
1714224,2017,5081.0,2467.0,2614.0,48.55343436331431,51.44656563668569,0.0
1714224,2018,5494.0,2605.0,2889.0,47.415362213323625,52.58463778667637,0.0
1714224,2019,5948.0,2869.0,3079.0,48.234700739744454,51.765299260255546,0.0
1714224,2021,6552.0,3139.0,3413.0,47.90903540903541,52.090964590964596,0.0
1714224,2022,6938.0,3411.0,3527.0,49.16402421447103,50.83597578552897,0.0
1714224,2023,6838.0,3266.0,3572.0,47.762503656039776,52.237496343960224,0.0
1714224,2024,6684.0,3267.0,3417.0,48.87791741472172,51.12208258527827,0.0
1714229,2011,4454.0,2130.0,2324.0,47.82218230803772,52.17781769196228,0.0
1714229,2012,4180.0,1970.0,2210.0,47.12918660287082,52.87081339712919,0.0
1714229,2016,5228.0,2490.0,2738.0,47.62815608263198,52.371843917368025,0.0
1714229,2020,5961.0,2808.0,3153.0,47.10619023653749,52.89380976346251,0.0
1714234,2010,3113.0,1474.0,1639.0,47.349823321554766,52.65017667844523,0.0
1714234,2013,3424.0,1664.0,1760.0,48.598130841121495,51.4018691588785,0.0
1714234,2014,3765.0,1766.0,1999.0,46.90571049136786,53.094289508632144,0.0
1714234,2015,3539.0,1729.0,1810.0,48.85560892907601,51.14439107092399,0.0
1714234,2017,3599.0,1718.0,1881.0,47.7354820783551,52.2645179216449,0.0
1714234,2018,3787.0,1870.0,1917.0,49.37945603379984,50.62054396620016,0.0
1714234,2019,4160.0,2003.0,2157.0,48.14903846153846,51.85096153846154,0.0
1714234,2021,4573.0,2287.0,2286.0,50.01093374152635,49.98906625847365,0.0
1714234,2022,4609.0,2194.0,2415.0,47.60251681492731,52.39748318507268,0.0
1714234,2023,4748.0,2282.0,2466.0,48.06234203875316,51.93765796124684,0.0
1714234,2024,4720.0,2269.0,2451.0,48.07203389830509,51.92796610169491,0.0
1714236,2010,3339.0,1684.0,1655.0,50.43426175501647,49.56573824498353,0.0
1714236,2013,4054.0,2015.0,2039.0,49.703996053280704,50.296003946719296,0.0
1714236,2014,4299.0,2065.0,2234.0,48.03442661083973,51.96557338916027,0.0
1714236,2015,4243.0,1966.0,2277.0,46.335140230968655,53.664859769031345,0.0
1714236,2017,4172.0,1959.0,2213.0,46.95589645254075,53.04410354745925,0.0
1714236,2018,4489.0,2128.0,2361.0,47.40476720873246,52.59523279126754,0.0
1714236,2019,4782.0,2296.0,2486.0,48.013383521539104,51.98661647846089,0.0
1714236,2021,5123.0,2474.0,2649.0,48.29201639664259,51.70798360335741,0.0
1714236,2022,5352.0,2552.0,2800.0,47.6831091180867,52.3168908819133,0.0
1714236,2023,5703.0,2818.0,2885.0,49.41258986498334,50.587410135016654,0.0
1714236,2024,5577.0,2627.0,2950.0,47.104177873408645,52.895822126591355,0.0
1714237,2010,4449.0,2155.0,2294.0,48.437851202517415,51.56214879748258,0.0
1714237,2013,4943.0,2378.0,2565.0,48.10843617236496,51.89156382763503,0.0
1714237,2014,5285.0,2479.0,2806.0,46.90633869441817,53.09366130558184,0.0
1714237,2015,5639.0,2587.0,3052.0,45.876928533427915,54.12307146657209,0.0
1714237,2017,5370.0,2557.0,2813.0,47.61638733705773,52.38361266294227,0.0
1714237,2018,5861.0,2711.0,3150.0,46.254905306261726,53.745094693738274,0.0
1714237,2019,6426.0,3047.0,3379.0,47.41674447556801,52.58325552443199,0.0
1714237,2021,7030.0,3423.0,3607.0,48.69132290184922,51.30867709815078,0.0
1714237,2022,7105.0,3454.0,3651.0,48.61365235749472,51.38634764250528,0.0
1714237,2023,7552.0,3613.0,3939.0,47.8416313559322,52.1583686440678,0.0
1714237,2024,7399.0,3508.0,3891.0,47.41181240708204,52.588187592917954,0.0
1714242,2011,3846.0,1866.0,1980.0,48.517940717628704,51.482059282371296,0.0
1714242,2012,3717.0,1780.0,1937.0,47.88808178638687,52.11191821361313,0.0
1714242,2016,4507.0,2177.0,2330.0,48.30264033725316,51.697359662746834,0.0
1714242,2020,5657.0,2713.0,2944.0,47.9582817747923,52.04171822520771,0.0
